"IFG","vmPFC"
-4.6,-1.4755
3.042,-1.08915
-3.873,-1.756
7.209,3.44175
5.642,2.1179
2.585,-0.5615
19.17,13.69
8.156,5.1895
-6.07,-2.14685
3.052,2.1859
14.05,19.11
0.5982,1.1823
5.267,-3.4515
-9.942,-4.9425
3.804,3.393
27.63,18.144
1.363,-1.1263
10.25,7.3855
-2.485,-2.37
10.38,9.2665
-2.949,-4.5165
-5.093,1.381
